START_DATE;END_DATE;CATEGORY*;START;STOP;MILES;PURPOSEroute
01.10.2016 19:12;01.10.2016 19:32;Business;Midtown;East Harlem;44963;MEETING
01.11.2016 13:32;01.11.2016 13:46;Business;Midtown;Midtown East;45108;Meal/Entertain
01.12.2016 12:33;01.12.2016 12:49;Business;Midtown;Hudson Square;45170;Meal/Entertain
1.13.2016 15:00;1.13.2016 15:28;Business;Gulfton;Downtown;45149;Meeting
1.29.2016 21:21;1.29.2016 21:40;Business;Apex;Cary;45051;Meal/Entertain
1.30.2016 18:09;1.30.2016 18:24;Business;Apex;Cary;45112;Customer Visit
02.01.2016 12:10;02.01.2016 12:43;Business;Chapel Hill;Cary;45008;Customer Visit
02.04.2016 9:37;02.04.2016 10:09;Business;Morrisville;Cary;45116;Meal/Entertain
02.07.2016 18:03;02.07.2016 18:17;Business;Apex;Cary;45112;Customer Visit
02.07.2016 20:22;02.07.2016 20:40;Business;Morrisville;Cary;44932;Meeting
02.09.2016 20:24;02.09.2016 20:40;Business;Morrisville;Cary;44932;Meal/Entertain
02.11.2016 20:36;02.11.2016 20:51;Business;Morrisville;Cary;44932;Temporary Site
02.12.2016 11:14;02.12.2016 11:35;Business;Morrisville;Raleigh;17;Customer Visit
02.12.2016 15:33;02.12.2016 16:06;Business;Morrisville;Cary;45057;Customer Visit
2.14.2016 14:46;2.14.2016 15:03;Business;Midtown;Midtown West;2;Meeting
2.16.2016 10:31;2.16.2016 10:41;BUSINESS;Colombo;Colombo;45079;
2.16.2016 11:32;2.16.2016 12:02;Business;Colombo;Colombo;45050;
2.16.2016 12:39;2.16.2016 12:42;Business;Colombo;Colombo;45108;
2.16.2016 13:43;2.16.2016 13:55;BUSINESS;Colombo;Colombo;45139;Temporary Site
2.16.2016 16:34;2.16.2016 17:10;Business;Colombo;Colombo;6;
2.16.2016 17:17;2.16.2016 17:26;Business;Colombo;Nugegoda;44927;Meal/Entertain
2.17.2016 15:17;2.17.2016 15:22;Business;Colombo;Colombo;45108;Meal/Entertain
2.17.2016 15:33;2.17.2016 16:17;Business;Colombo;Katunayaka;45037;Temporary Site
2.22.2016 21:54;2.22.2016 22:09;Business;Morrisville;Cary;44934;Customer Visit
2.29.2016 12:36;2.29.2016 12:48;Business;Apex;Cary;45082;Meeting
03.04.2016 19:16;03.04.2016 19:25;Business;Morrisville;Cary;2;Meal/Entertain
03.05.2016 14:08;03.05.2016 14:18;Personal;Morrisville;Cary;45049;
03.05.2016 17:23;03.05.2016 17:34;Business;Morrisville;Cary;45172;Meal/Entertain
3.13.2016 20:07;3.13.2016 20:28;Business;Georgian Acres;The Drag;44963;Meal/Entertain
3.17.2016 17:20;3.17.2016 18:02;Business;Midtown;Alief;45061;Meal/Entertain
